Common Name,Distribution,Endangered Species Act Status,NatureServe Global Rank,NatureServe Rounded Global Rank,Scientific Name,Species Group (Fine),View on NatureServe Explorer,_id
Sickle Darter,"United States: NC (SX), TN (S2), VA (S1)",Proposed threatened,G2,G2,Percina williamsi,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.814575/Percina_williamsi,645ab24495bd22ca2330fc30
Woundfin,"United States: AZ (S1), NV (S1), UT (S1)","Endangered; Experimental population, non-essential",G1,G1,Plagopterus argentissimus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102603/Plagopterus_argentissimus,645ab24495bd22ca2330fc31
Mexican Blindcat,United States: TX (S1),Endangered,GNR,GNR,Prietella phreatophila,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.974961/Prietella_phreatophila,645ab24495bd22ca2330fc32
Bluehead Shiner,"United States: AR (S3), IL (SX), LA (S2), MI (SNR), OK (S1), TX (S1)",Under Review,G3,G3,Pteronotropis hubbsi,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101918/Pteronotropis_hubbsi,645ab24495bd22ca2330fc33
Colorado Pikeminnow,"United States: AZ (S1), CA (SX), CO (S1), NM (S1), NN (S1), NV (SX), UT (S3), WY (SX)","Endangered; Experimental population, non-essential",G1,G1,Ptychocheilus lucius,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104138/Ptychocheilus_lucius,645ab24495bd22ca2330fc34
Relict Dace,United States: NV (S3),Under Review,G2G3,G2,Relictus solitarius,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104195/Relictus_solitarius,645ab24495bd22ca2330fc35
Loach Minnow,"United States: AZ (S1), NM (S1)",Endangered,G2,G2,Rhinichthys cobitis,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100258/Rhinichthys_cobitis,645ab24495bd22ca2330fc36
Dolly Varden,"Canada: AB (SNA), BC (S4), NT (S2), YT (S3)
United States: AK (S5), NM (SNA), NV (SNA), WA (S3)",Proposed threatened due to similarity of appearance,G5,G5,Salvelinus malma,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104555/Salvelinus_malma,645ab24495bd22ca2330fc37
Widemouth Blindcat,United States: TX (S1),Under Review,G1G2,G1,Satan eurystomus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100902/Satan_eurystomus,645ab24495bd22ca2330fc38
Pallid Sturgeon,"United States: AR (S1), IA (S1), IL (S2), KS (S1), KY (S1), LA (S1), MO (S1), MS (S1), MT (S1), ND (S1), NE (S1), SD (S2), TN (S1)",Endangered,G2,G2,Scaphirhynchus albus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103033/Scaphirhynchus_albus,645ab24495bd22ca2330fc39
Shovelnose Sturgeon,"United States: AL (SX), AR (S3), IA (S4), IL (S2), IN (S4), KS (S3), KY (S4), LA (S4), MN (S4), MO (S4), MS (S3), MT (S4), ND (SNR), NE (S4), NM (SX), OH (S1), OK (S1), PA (SX), SD (S3), TN (S4), TX (S2), WI (S4), WV (S1), WY (S1)",Threatened due to similarity of appearance,G4,G4,Scaphirhynchus platorynchus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.103361/Scaphirhynchus_platorynchus,645ab24495bd22ca2330fc3a
Alabama Sturgeon,"United States: AL (S1), MS (SH)",Endangered,G1,G1,Scaphirhynchus suttkusi,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100500/Scaphirhynchus_suttkusi,645ab24495bd22ca2330fc3b
Borax Lake Chub,United States: OR (S1),Delisted,G1,G1,Siphateles boraxobius,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105278/Siphateles_boraxobius,645ab24495bd22ca2330fc3c
Alabama Cavefish,United States: AL (S1),Endangered,G1,G1,Speoplatyrhinus poulsoni,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.105723/Speoplatyrhinus_poulsoni,645ab24495bd22ca2330fc3d
Ozark Cavefish,"United States: AR (S1), KS (SNR), MO (S2), OK (S1)",Threatened,G3,G3,Troglichthys rosae,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.102003/Troglichthys_rosae,645ab24495bd22ca2330fc3e
Toothless Blindcat,United States: TX (S1),Under Review,G1G2,G1,Trogloglanis pattersoni,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.106498/Trogloglanis_pattersoni,645ab24495bd22ca2330fc3f
Razorback Sucker,"United States: AZ (S1), CA (S1), CO (S1), NM (S1), NN (S1), NV (S1), UT (S2), WY (SX)",Endangered; Proposed threatened,G1,G1,Xyrauchen texanus,"Fishes - Freshwater and Anadromous Bony, Cartilaginous; Lampreys",https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.104297/Xyrauchen_texanus,645ab24495bd22ca2330fc40
Cusk,"Canada: LB (SNR), NB (SNR), NF (SNR), NS (SNR), QC (S3)
United States: ME (SNR)",Candidate,GNR,GNR,Brosme brosme,Fishes - Marine Bony and Cartilaginous; Hagfishes,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101012/Brosme_brosme,645ab24495bd22ca2330fc41
Oceanic Whitetip Shark,"United States: DE (SNR), LA (SNR), TX (S2)",Threatened,GNR,GNR,Carcharhinus longimanus,Fishes - Marine Bony and Cartilaginous; Hagfishes,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.101389/Carcharhinus_longimanus,645ab24495bd22ca2330fc42
Nassau Grouper,United States: FL (S1),Threatened,G2,G2,Epinephelus striatus,Fishes - Marine Bony and Cartilaginous; Hagfishes,https://explorer.natureserve.org/Taxon/ELEMENT_GLOBAL.2.100993/Epinephelus_striatus,645ab24495bd22ca2330fc43
